title,artist,winner,year,lyrics
Dr. H. What as that?
P. That which He brake.
Dr. H. What did He brake?
P. That which He took.
Dr. H. What did He take?
P. I say, what He gave them, that did they eat indeed.
Dr. H. Well, then, thou sayest it was but bread which the disciples did eat.
P. I say, what He gave them, that did they eat indeed.

A very long disputation followed, in which Plaise was desired to humble himself to the bishop; but this he refused. Whether this zealous person died in prison, was executed, or delivered, history does not mention.Rev. John HullierRev. John Hullier was brought up at Eton College, and in process of time became curate of Babram, three miles from Cambridge, and went afterward to Lynn; where, opposing the superstition of the papists, he was carried before Dr. Thirlby, bishop of Ely, and sent to Cambridge castle: here he lay for a time, and was then sent to Tolbooth prison, where, after three months, he was brought to St. Mary's Church, and condemned by Dr. Fuller. On Maunday Thursday he was brought to the stake: while undressing, he told the people to bear witness that he was about to suffer in a just cause, and exhorted them to believe that there was no other rock than Jesus Christ to build upon. A priest named Boyes, then desired the mayor to silence him. After praying, he went meekly to the stake, and being bound with a chain, and placed in a pitch barrel, fire was applied to the reeds and wood; but the wind drove the fire directly to his back, which caused him under the severe agony to pray the more fervently. His friends directed the executioner to fire the pile to windward of his face, which was immediately done.

A quantity of books were now thrown into the fire, one of which (the Communion Service) he caught, opened it, and joyfully continued to read it, until the fire and smoke deprived him of sight; then even, in earnest prayer, he pressed the book to his heart, thanking God for bestowing on him in his last moments this precious gift.

The day being hot, the fire burnt fiercely; and at a time when the spectators supposed he was no more, he suddenly exclaimed, ""Lord Jesus, receive my spirit,"" and meekly resigned his life. He was burnt on Jesus Green, not far from Jesus College. He had gunpowder given him, but he was dead before it became ignited. This pious sufferer afforded a singular spectacle; for his flesh was so burnt from the bones, which continued erect, that he presented the idea of a skeleton figure chained to the stake. His remains were eagerly seized by the multitude, and venerated by all who admired his piety or detested inhuman bigotry.Simon Miller and Elizabeth CooperIn the following month of July, received the crown of martyrdom. Miller dwelt at Lynn, and came to Norwich, where, planting himself at the door of one of the churches, as the people came out, he requested to know of them where he could go to receive the Communion. For this a priest brought him before Dr. Dunning, who committed him to ward; but he was suffered to go home, and arrange his affairs; after which he returned to the bishop's house, and to his prison, where he remained until the thirteenth of July, the day of his burning.

Elizabeth Coope, wife of a pewterer, of St. Andrews, Norwich, had recanted; but tortured for what she had done by the worm which dieth not, she shortly after voluntarily entered her parish church during the time of the popish service, and standing up, audibly proclaimed that she revoked her former recantation, and cautioned the people to avoid her unworthy example. She was taken from her own house by Mr. Sutton the sheriff, who very reluctantly complied with the letter of the law, as they had been servants and in friendship together. At the stake, the poor sufferer, feeling the fire, uttered the cry of ""Oh!"" upon which Mr. Miller, putting his hand behind him towards her, desired her to be of a good courage, ""for (said he) good sister, we shall have a joyful and a sweet supper."" Encouraged by this example and exhortation, she stood the fiery ordeal without flinching, and, with him, proved the power of faith over the flesh.Executions at ColchesterIt was before mentioned that twenty-two persons had been sent up from Colchester, who upon a slight submission, were afterward released. Of these, William Munt, of Much Bentley, husbandman, with Alice, his wife, and Rose Allin, her daughter, upon their return home, abstained from church, which induced the bigoted priest secretly to write to Bonner. For a short time they absconded, but returniong again, March 7, one Edmund Tyrrel, (a relation of the Tyrrel who murdered King Edward V and his brother) with the officers, entered the house while Munt and his wife were in bed, and informed them that they must go to Colchester Castle. Mrs. Munt at that time being very ill, requested her daughter to get her some drink; leave being permitted, Rose took a candle and a mug; and in returning through the house was met by Tyrrel, who cautioned her to advise her parents to become good Catholics. Rose briefly informed him that they had the Holy Ghost for their adviser; and that she was ready to lay down her own life for the same cause. Turning to his company, he remarked that she was willing to burn; and one of them told him to prove her, and see what she would do by and by. The unfeeling wretch immediately executed this project; and, seizing the young woman by the wrist, he held the lighted candle under her hand, burning it crosswise on the back, until the tendons divided from the flesh, during which he loaded her with many opprobrious epithets. She endured his rage unmoved, and then, when he had ceased the torture, she asked him to begin at her feet or head, for he need not fear that his employer would one day repay him. After this she took the drink to her mother.

This cruel act of torture does not stand alone on record.

Bonner had served a poor blind harper in nearly the same manner, who had steadily maintained a hope that if every joint of him were to be burnt, he should not fly from the faith. Bonner, upon this, privately made a signal to his men, to bring a burning coal, which they placed in the poor man's hand, and then by force held it closed, until it burnt into the flesh deeply.

George Eagles, tailor, was indicted for having prayed that 'God would turn Queen Mary's heart, or take her away'; the ostensible cause of his death was his religion, for treason could hardly be imagined in praying for the reformation of such an execrable soul as that of Mary. Being condemned for this crime, he was drawn to the place of execution upon a sledge, with two robbers, who were executed with him. After Eagles had mounted the ladder, and been turned off a short time, he was cut down before he was at all insensible; a bailiff, named William Swallow, then dragged him to the sledge, and with a common blunt cleaver, hacked off the head; in a manner equally clumsy and cruel, he opened his body and tore out the heart.

In all this suffering the poor martyr repined not, but to the last called upon his Savior. The fury of these bigots did not end here; the intestines were burnt, and the body was quartered, the four parts being sent to Colchester, Harwich, Chelmsford, and St. Rouse's. Chelmsford had the honor of retaining his head, which was affixed to a long pole in the market place. In time it was blown down, and lay several days in the street, until it was buried at night in the churchyard. God's judgment not long after fell upon Swallow, who in his old age became a beggar, and who was affected with a leprosy that made him obnoxious even to the animal creation; nor did Richard Potts, who troubled Eagles in his dying moments, escape the visiting hand of God.Mrs. Joyce LewesThis lady was the wife of Mr. T. Lewes, of Manchester. She had received the Romish religion as true, until the burning of that pious martyr, Mr. Saunders, at Coventry. Understanding that his death arose from a refusal to receive the Mass, she began to inquire into the ground of his refusal, and her conscience, as it began to be enlightened, became restless and alarmed. In this inquietude, she resorted to Mr. John Glover, who lived near, and requested that he would unfold those rich sources of Gospel knowledge he possessed, particularly upon the subject of transubstantiation. He easily succeeded in convincing her that the mummery of popery and the Mass were at variance with God's most holy Word, and honestly reproved her for following too much the vanities of a wicked world. It was to her indeed a word in season, for she soon became weary of her former sinful life and resolved to abandon the Mass and dilatrous worship. Though compelled by her husband's violence to go to church, her contempt of the holy water and other ceremonies was so manifest, that she was accused before the bishop for despising the sacramentals.

A citation, addressed to her, immediately followed, which was given to Mr. Lewes, who, in a fit of passion, held a dagger to the throat of the officer, and made him eat it, after which he caused him to drink it down, and then sent him away. But for this the bishop summoned Mr. Lewest before him as well as his wife; the former readily submitted, but the latter resolutely affirmed, that, in refusing holy water, she neither offended God, nor any part of his laws. She was sent home for a month, her husband being bound for her appearance, during which time Mr. Glover impressed upon her the necessity of doing what she did, not from self-vanity, but for the honor and glory of God.

Mr. Glover and others earnestly exhorted Lewest to forfeit the money he was bound in, rather than subject his wife to certain death; but he was deaf to the voice of humanity, and delivered her over to the bishop, who soon found sufficient cause to consign her to a loathsome prison, whence she was several times brought for examination. At the last time the bishop reasoned with her upon the fitness of her coming to Mass, and receiving as sacred the Sacrament and sacramentals of the Holy Ghost. ""If these things were in the Word of God,"" said Mrs. Lewes, ""I would with all my heart receive, believe, and esteem them."" The bishop, with the most ignorant and impious effrontery, replied, ""If thou wilt believe no more than what is warranted by Scriptures, thou art in a state of damnation!"" Astonished at such a declaration, this worthy sufferer ably rejoined that his words were as impure as they were profane.

After condemnation, she lay a twelvemonth in prison, the sheriff not being willing to put her to death in his time, though he had been but just chosen. When her death warrant came from London, she sent for some friends, whom she consulted in what manner her death might be more glorious to the name of God, and injurious to the cause of God's enemies. Smilingly, she said: ""As for death, I think but lightly of. When I know that I shall behold the amiable countenance of Christ my dear Savior, the ugly face of death does not much trouble me."" The evening before she suffered, two priests were anxious to visit her, but she refused both their confession and absolution, when she could hold a better communication with the High Priest of souls. About three o'clock in the morning, Satan began to shoot his fiery darts, by putting into her mind to doubt whether she was chosen to eternal life, and Christ died for her. Her friends readily pointed out to her those consolatory passages of Scripture which comfort the fainting heart, and treat of the Redeemer who taketh away the sins of the world.

About eight o'clock the sheriff announced to her that she had but an hour to live; she was at first cast down, but this soon passed away, and she thanked God that her life was about to be devoted to His service. The sheriff granted permission for two friends to accompany her to the stake-an indulgence for which he was afterward severely handled. Mr. Reniger and Mr. Bernher led her to the place of execution; in going to which, from its distance, her great weakness, and the press of the people, she had nearly fainted. Three times she prayed fervently that God would deliver the land from popery and the idolatrous Mass; and the people for the most part, as well as the sheriff, said Amen.

When she had prayed, she took the cup, (which had been filled with water to refresh her,) and said, ""I drink to all them that unfeignedly love the Gospel of Christ, and wish for the abolition of popery."" Her friends, and a great many women of the place, drank with her, for which most of them afterward were enjoined penance.

When chained to the stake, her countenance was cheerful, and the roses of her cheeks were not abated. Her hands were extended towards heaven until the fire rendered them powerless, when her soul was received int o the arms of the Creator. The duration of her agony was but short, as the under-sheriff, at the request of her friends, had prepared such excellent fuel that she was in a few minutes overwhelmed with smoke and flame. The case of this lady drew a tear of pity from everyone who had a heart not callous to humanity.Executions at IslingtonAbout the seventeenth of September, suffered at Islington the following four professors of Christ: Ralph Allerton, James Austoo, Margery Austoo, and Richard Roth.

James Austoo and his wife, of St. Allhallows, Barking, London, were sentenced for not believing in the presence. Richard Roth rejected the seven Sacraments, and was accused of comforting the heretics by the following letter written in his own blood, and intended to have been sent to his friends at Colchester:

""O dear Brethren and Sisters,
""How much reason have you to rejoice in God, that He hath given you such faith to overcome this bloodthirsty tyrant thus far! And no doubt He that hath begun that good work in you, will fulfill it unto the end. O dear hearts in Christ, what a crown of glory shall ye receive with Christ in the kingdom of God! O that it had been the good will of God that I had been ready to have gone with you; for I lie in my lord's Little-ease by day, and in the night I lie in the Coalhouse, apart from Ralph Allerton, or any other; and we look every day when we shall be condemned; for he said that I should be burned within ten days before Easter; but I lie still at the pool's brink, and every man goeth in before me; but we abide patiently the Lord's leisure, with many bonds, in fetters and stocks, by which we have received great joy of God. And now fare you well, dear brethren and sisters, in this world, but I trust to see you in the heavens face to face.
""O brother Munt, with your wife and my sister Rose, how blessed are you in the Lord, that God hath found you worthy to suffer for His sake! with all the rest of my dear brethren and sisters known and unknown. O be joyful even unto death. Fear it not, saith Christ, for I have overcome death. O dear heart, seeing that Jesus Christ will be our help, O tarry you the Lord's leisure. Be strong, let your hearts be of good comfort, and wait you still for the Lord. He is at hand. Yea, the angel of the Lord pitcheth his tent round about them that fear him, and delivereth them which way he seeth best. For our lives are in the Lord's hands; and they can do nothing unto us before God suffer them. Therefore give all thanks to God.
""O dear hearts, you shall be clothed in long white garments upon the mount of Sion, with the multitude of saints, and with Jesus Christ our Savior, who will never forsake us. O blessed virgins, ye have played the wise virgins' part, in that ye have taken oil in your lamps that ye may go in with the Bridegroom, when he cometh, into the everlasting joy with Him. But as for the foolish, they shall be shut out, because they made not themselves ready to suffer with Christ, neither go about to take up His cross. O dear hearts, how precious shall your death be in the sight of the Lord! for dear is the death of His saints. O fare you well, and pray. The grace of our Lord Jesus Christ be with you all. Amen, Amen. Pray, pray, pray!
""Written by me, with my own blood,""RICHARD ROTH.""This letter, so justly denominating Bonner the ""bloodthirsty tyrant,"" was not likely to excite his compassion. Roth accused him of bringing them to secret examination by night, because he was afraid of the people by day. Resisting every temptation to recant, he was condemned, and on September 17, 1557, these four martyrs perished at Islington, for the testimony of the Lamb, who was slain that they might be of the redeemed of God.

John Noyes, a shoemaker, of Laxfield, Suffolk, was taken to Eye, and at midnight, September 21, 1557, he was brought from Eye to Laxfield to be burned. On the following morning he was led to the stake, prepared for the horrid sacrifice. Mr. Noyes, on coming to the fatal spot, knelt down, prayed, and rehearsed the Fiftieth Psalm. When the chain enveloped him, he said, ""Fear not them that kill the body, but fear him that can kill both body and soul, and cast it into everlasting fire!"" As one Cadman placed a fagot against him, he blessed the hour in which he was born to die for the truth; and while trusting only upon the all-sufficient merits of the Redeemer, fire was set to the pile, and the blazing fagots in a short time stifled his last words, ""Lord, have mercy on me! Christ, have mercy upon me!"" The ashes of the body were buried in a pit, and with them one of his feet, whole to the ankle, with the stocking on.Mrs. Cicely OrmesThis young martyr, aged twenty-two, was the wife of Mr. Edmund Ormes, worsted weaver of St. Lawrence, Norwich. At the death of Miller and Elizabeth Cooper, before mentioned, she had said that she would pledge them of the same cup they drank of. For these words she was brought to the chanellor, who would have discharged her upon promising to go to church, and to keep her belief to herself. As she would not consent to this, the chancellor urged that he had shown more lenity to her than any other person, and was unwilling to condemn her, because she was an ignorant foolish woman; to this she replied, (perhaps with more shrewdness than he expected,) that however great his desire might be to spare her sinful flesh, it could not equal her inclination to surrender it up in so great a quarrel. The chancellor then pronounced the fiery sentence, and September 23, 1557, she was brought to the stake, at eight o'clock in the morning.

After declaring her faith to the people, she laid her hand on the stake, and said, ""Welcome, thou cross of Christ."" Her hand was sooted in doing this, (for it was the same stake at which Miller and Cooper were burnt,) and she at first wiped it; but directly after again welcomed and embraced it as the ""sweet cross of Christ."" After the tormentors had kindled the fire, she said, ""My soul doth magnify the Lord, and my spirit doth rejoice in God my Savior."" Then crossing her hands upon her breast, and looking upwards with the utmost serenity, she stood the fiery furnace. Her hands continued gradually to rise until the sinews were dried, and then they fell. She uttered no sigh of pain, but yielded her life, an emblem of that celestial paradise in which is the presence of God, blessed forever.

It might be contended that this martyr voluntarily sought her own death, as the chancellor scarcely exacted any other penance of her than to keep her belief to herself; yet it should seem in this instance as if God had chosen her to be a shining light, for a twelve-month before she was taken, she had recanted; but she was wretched until the chancellor was informed, by letter, that she repented of her recantation from the bottom of her heart. As if to compensate for her former apostasy, and to convince the Catholics that she meant to more to compromise for her personal security, she boldly refused his friendly offer of permitting her to temporize. Her courage in such a cause deserves commendation-the cause of Him who has said, ""Whoever is ashamed of me on earth, of such will I be ashamed in heaven.""Rev. John RoughThis pious martyr was a Scotchman. At the age of seventeen, he entered himself as one of the order of Black Friars, at Stirling, in Scotland. He had been kept out of an inheritance by his friends, and he took this step in revenge for their conduct to him. After being there sixteen years, Lord Hamilton, earl of Arran, taking a liking to him, the archbishop of St. Andrew's induced the provincial of the house to dispense with his habit and order; and he thus became the earl's chaplain. He remained in this spiritual employment a year, and in that time God wrought in him a saving knowledge of the truth; for which reason the earl sent him to preach in the freedom of Ayr, where he remained four years; but finding danger there from the religious complexion of the times, and learning that there was much Gospel freedom in England, he travelled up to the duke of Somerset, then Lord Protector of England, who gave him a yearly salary of twenty pounds, and authorized him, to preach at Carlisle, Berwick, and Newcastle, where he married. He was afterward removed to a benefice at Hull, in which he remained until the death of Edward VI.

In consequence of the tide of persecution then setting in, he fled with his wife to Friesland, and at Nordon they followed the occupation of knitting hose, caps, etc., for subsistence. Impeded in his business by the want of yarn, he came over to England to procure a quantity, and on November 10, arrived in London, where he soon heard of a secret society of the faithful, to whom he joined himself, and was in a short time elected their minister, in which occupation he strengthened them in every good resolution.

On December 12, through the information of one Taylor, a member of the society, Mr. Rough, with Cuthbert Symson and others, was taken up in the Saracen's Head, Islington, where, under the pretext of coming to see a play, their religious exercises were holden. The queen's vice-chamberlain conducted Rough and Symson before the Council, in whose presence they were charged with meeting to celebrate the Communion. The Council wrote to Bonner and he lost no time in this affair of blood. In three days he had him up, and on the next (the twentieth) resolved to condemn him. The charges laid against him were, that he, being a priest, was married, and that he had rejected the service in the Latin tongue. Rough wanted not arguments to reply to these flimsy tenets. In short, he was degraded and condemned.



Mr. Rough, it should be noticed, when in the north, in Edward VI's reign, had saved Dr. Watson's life, who afterward sat with Bishop Bonner on the bench. This ungrateful prelate, in return for the kind act he had received, boldly accused Mr. Rough of being the most pernicious heretic in the country. The godly minister reproved him for his malicious spirit; he affirmed that, during the thirty years he had lived, he had never bowed the knee to Baal; and that twice at Rome he had seen the pope born about on men's shoulders with the false-named Sacrament carried before him, presenting a true picture of the very Antichrist; yet was more reverence shown to him than to the wafer, which they accounted to be their God. ""Ah?"" said Bonner, rising, and making towards him, as if he would have torn his garment, ""Hast thou been at Rome, and seen our holy father the pope, and dost thou blaspheme him after this sort?"" This said, he fell upon him, tore off a piece of his beard, and that the day might begin to his own satisfaction, he ordered the object of his rage to be burnt by half-past five the following morning.Cuthbert SymsonFew professors of Christ possessed more activity and zeal than this excellent person. He not only labored to preserve his friends from the contagion of popery, but he labored to guard them against the terrors of persecution. He was deacon of the little congregation over which Mr. Rough presided as minister.

Mr. Symson has written an account of his own sufferings, which he cannot detail better than in his own words:

""On the thirteenth of December, 1557, I was committed by the Council to the Tower of London. On the following Thursday, I was called into the ward-room, before the constable of the Tower, and the recorder of London, Mr. Cholmly, who commanded me to inform them of the names of those who came to the English service. I answered that I would declare nothing; in consequence of my refusal, I was set upon a rack of iron, as I judge for the space of three hours!
""They then asked me if I would confess: I answered as before.
After being unbound, I was carried back to my lodging. The Sunday after I was brought to the same place again, before the lieutenant and recorder of London, and they examined me. As I had answered before, so I answered now. Then the lieutenant swore by God I should tell; after which my two forefingers were bound together, and a small arrow placed between them, they drew it through so fast that the blood followed, and the arrow brake.
""After enduring the rack twice again, I was retaken to my lodging, and ten days after the lieutenant asked me if I would not now confess that which they had before asked of me. I answered, that I had already said as much as I would. Three weeks after I was sent to the priest, where I was greatly assaulted, and at whose hand I received the pope's curse, for bearing witness of the resurrection of Christ. And thus I commend you to God, and to the Word of His grace, with all those who unfeignedly call upon the name of Jesus; desiring God of His endless mercy, through the merits of His dear Son Jesus Christ, to bring us all to His everlasting Kingdom, Amen. I praise God for His great mercy shown upon us. Sing Hosanna to the Highest with me, Cuthbert Symson. God forgive my sins! I ask forgiveness of all the world, and I forgive all the world, and thus I leave the world, in the hope of a joyful resurrection!""

If this account be duly considered, what a picture of repeated tortures does it present! But even the cruelty of the narration is exceeded by the patient meekness with which it was endured. Here are no expressions of malice, no invocations even of God's retributive justice, not a complaint of suffering wrongfully! On the contrary, praise to God, forgiveness of sin, and a forgiving all the world, concludes this unaffected interesting narrative.

Bonner's admiration was excited by the steadfast coolness of this martyr. Speaking of Mr. Symson in the consistory, he said, ""You see what a personable man he is, and then of his patience, I affirm, that, if he were not a heretic, he is a man of the greatest patience that ever came before me. Thrice in one day has he been racked in the Tower; in my house also he has felt sorrow, and yet never have I seen his patience broken.""

The day before this pious deacon was to be condemned, while in the stocks in the bishop's coal-house, he had the vision of a glorified form, which much encouraged him. This he certainly attested to his wife, to Mr. Austen, and others, before his death.

With this ornament of the Christian Reformation were apprehended Mr. Hugh Foxe and John Devinish; the three were brought before Bonner, March 19, 1558, and the papistical articles tendered. They rejected them, and were all condemned. As they worshipped together in the same society, at Islington, so they suffered together in Smithfield, March 28; in whose death the God of Grace was glorified, and true believers confirmed!Thomas Hudson, Thomas Carman, and William SeamenWere condemned by a bigoted vicar of Aylesbury, named Berry.

The spot of execution was called Lollard's Pit, without Bishipsgate, at Norwich. After joining together in humble petition to the throne of grace, they rose, went to the stake, and were encircled with their chains. To the great surprise of the spectators, Hudson slipped from under his chains, and came forward. A great opinion prevailed that he was about to recant; others thought that he wanted further time. In the meantime, his companions at the stake urged every promise and exhortation to support him. The hopes of the enemies of the cross, however, were disappointed: the good man, far from fearing the smallest personal terror at the approaching pangs of death, was only alarmed thathis Savior's face seemed to be hidden from him. Falling upon his knees, his spirit wrestled with God, and God verified the words of His Son, ""Ask, and it shall be given."" The martyr rose in an ecstasy of joy, and exclaimed, ""Now, I thank God, I am strong! and care not what man can do to me!"" With an unruffled countenance he replaced himself under the chain, joined his fellow-sufferers, and with them suffered death, to the comfort of the godly, and the confusion of Antichrist.

Berry, unsatiated with this demoniacal act, summoned up two hundred persons in the town of Aylesham, whom he compelled to kneel to the cross at Pentecost, and inflicted other punishments. He struck a poor man for a trifling word, with a flail, which proved fatal to the unoffending object. He also gave a woman named Alice Oxes, so heavy a blow with his fist, as she met him entering the hall when he was in an ill-humor, that she died with the violence. This priest was rich, and possessed great authority; he was a reprobate, and, like the priesthood, he abstained from marriage, to enjoy the more a debauched and licentious life. The Sunday after the death of Queen Mary, he was revelling with one of his concubines, before vespers; he then went to church, administered baptism, and in his return to his lascivious pastime, he was smitten by the hand of God. Without a moment given for repentance, he fell to the ground, and a groan was the only articulation permitted him. In him we may behold the difference between the end of a martyr and a persecutor.The Story of Roger HollandIn a retired close near a field, in Islington, a company of decent persons had assembled, to the number of forty. While they were religiously engaged in praying and expounding the Scripture, twenty-seven of them were carried before Sir Roger Cholmly. Some of the women made their escape, twenty-two were committed to Newgate, who continued in prison seven weeks. Previous to their examination, they were informed by the keeper, Alexander, that nothing more was requisite to procure their discharge, than to hear Mass. Easy as this condition may seem, these martyrs valued their purity of conscience more than loss of life or property; hence, thirteen were burnt, seven in Smithfield, and six at Brentford; two died in prison, and the other seven were providentially preserved. The names of the seven who suffered were, H. Pond, R. Estland, R. Southain, M. Ricarby, J. Floyd, J. Holiday, and Roger Holland. They were sent to Newgate, June 16, 1558, and executed on the twenty-seventh.

This Roger Holland, a merchant-tailor of London, was first an apprentice with one Master Kemption, at the Black Boy in Watling Street, giving himself to dancing, fencing, gaming, banqueting, and wanton company. He had received for his master certain money, to the sum of thirty pounds; and lost every groat at dice. Therefore he purposed to convey himself away beyond the seas, either into France or into Flanders.

With this resolution, he called early in the morning on a discreet servant in the house, named Elizabeth, who professed the Gospel, and lived a life that did honor to her profession. To her he revealed the loss his folly had occasioned, regretted that he had not followed her advice, and begged her to give his master a note of hand from him acknowledging the debt, which he would repay if ever it were in his power; he also entreated his disgraceful conduct might be kept secret, lest it would bring the gray hairs to his father with sorrow to a premature grave.

The maid, with a generosity and Christian principle rarely surpassed, conscious that his imprudence might be his ruin, brought him the thirty pounds, which was part of a sum of money recently left her by legacy. ""Here,"" said she, ""is the sum requisite: you shall take the money, and I will keep the note; but expressly on this condition, that you abandon all lewd and vicious company; that you neither swear nor talk immodestly, and game no more; for, should I learn that you do, I will immediately show this note to your master. I also require, that you shall promise me to attend the daily lecture at Allhallows, and the sermon at St. Paul's every Sunday; that you cast away all your books of popery, and in their place substitute the Testament and the Book of Service, and that you read the Scriptures with reverence and fear, calling upon God for his grace to direct you in his truth. Pray also fervently to God, to pardon your former offences, and not to remember the sins of your youth, and would you obtain his favor ever dread to break his laws or offend his majesty. So shall God have you in His keeping, and grant you your heart's desire."" We must honor the memory of this excellent domestic, whose pious endeavors were equally directed to benefit the thoughtless youth in this life and that which is to come. God did not suffer the wish of this excellent domestic to be thrown upon a barren soil; within half a year after the licentious Holland became a zealous professor of the Gospel, and was an instrument of conversion to his father and others whom he visited in Lancashire, to their spiritual comfort and reformation from popery.

His father, pleased with his change of conduct, gave him forty pounds to commence business with in London.

Then Roger repaired to London again, and came to the maid that lent him the money to pay his master withal, and said unto her, ""Elizabeth, here is thy money I borrowed of thee; and for the friendship, good will, and the good counsel I have received at thy hands, to recompense thee I am not able, otherwise than to make thee my wife."" And soon after they were married, which was in the first year of Queen Mary.

After this he remained in the congregations of the faithful, until, the last year of Queen Mary, he, with the six others aforesaid, were taken.

And after Roger Holland there was none suffered in Smithfield for the testimony of the Gospel, God be thanked.Flagellations by BonnerWhen this Catholic hyena found that neither persuasions, threats, nor imprisonment, could produce any alteration in the mind of a youth named Thomas Hinshaw, he sent him to Fulham, and during the first night set him in the stocks, with no other allowance than bread and water. The following morning he came to see if this punishment had worked any change in his mind, and finding none, he sent Dr. Harpsfield, his archdeacon, to converse with him. The doctor was soon out f humor at his replies, called him peevish boy, and asked him if he thought he went about to damn his soul? ""I am persuaded,"" said Thomas, ""that you labor to promote the dark kingdom of the devil, not for the love of the truth."" These words the doctor conveyed to the bishop, who, in a passion that almost prevented articulation, came to Thomas, and said, ""Dost thou answer my archdeacon thus, thou naughty boy? But I'll soon handle thee well enough for it, be assured!"" Two willow twigs were then brought him, and causing the unresisting youth to kneel against a long bench, in an arbor in his garden, he scourged him until he was compelled to cease for want of breath and fatigue. One of the rods was worn quite away.

Many other conflicts did Hinsaw undergo from the bishop; who, at length, to remove him effectually, procured false witnesses to lay articles against him, all of which the young man denied, and, in short, refused to answer any interrogatories administered to him. A fortnight after this, the young man was attacked by a burning ague, and at the request of his master. Mr. Pugson, of St. Paul's church-yard, he was removed, the bishop not doubting that he had given him his death in the natural way; he however remained ill above a year, and in the mean time Queen Mary died, by which act of providence he escaped Bonner's rage.

John Willes was another faithful person, on whom the scourging hand of Bonner fell. He was the brother of Richard Willes, before mentioned, burnt at Brentford. Hinshaw and Willes were confined in Bonner's coal house together, and afterward removed to Fulham, where he and Hinshaw remained during eight or ten days, in the stocks. Bonner's persecuting spirit betrayed itself in his treatment of Willes during his examinations, often striking him on the head with a stick, seizing him by the ears, and filliping him under the chin, saying he held down his head like a thief. This producing no signs of recantation, he took him into his orchard, and in a small arbor there he flogged him first with a willow rod, and then with birch, until he was exhausted. This cruel ferocity arose from the answer of the poor sufferer, who, upon being asked how long it was since he had crept to the cross, replied, 'Not since he had come to years of discretion, nor would he, though he should be torn to pieces by wild horses.' Bonner then bade him make the sign of the cross on his forehead, which he refused to do, and thus was led to the orchard.

One day, when in the stocks, Bonner asked him how he liked his lodging and fare. ""Well enough,"" said Willes, ""might I have a little straw to sit or lie upon."" Just at this time came in Willes' wife, then largely pregnant, and entreated the bishop for her husband, boldly declaring that she would be delivered in the house, if he were not suffered to go with her. To get rid of the good wife's importunity, and the trouble of a lying-in woman in his palace, he bade Willes make the sign of the cross, and say, In nomine Patris, et Filii, et Spiritus Sancti, Amen. Willes omitted the sign, and repeated the words, ""in the name of the Father, and of the Son, and of the Holy Ghost, Amen."" Bonner would have the words repeated in Latin, to which Willes made no objection, knowing the meaning of the words. He was then permitted to go home with his wife, his kinsman Robert Rouze being charged to bring him to St. Paul's the next day, whither he himself went, and subscribing to a Latin instrument of little importance, was liberated. This is the last of the twenty-two taken at Islington.Rev. Richard YeomanThis devout aged person was curate to Dr. Taylor, at Hadley, and eminently qualified for his sacred function. Dr. Taylor left him the curacy at his departure, but no sooner had Mr. Newall gotten the benefice, than he removed Mr. Yeoman, and substituted a Romish priest. After this he wandered from place to place, exhorting all men to stand faithfully to God's Word, earnestly to give themselves unto prayer, with patience to bear the cross now laid upon them for their trial, with boldness to confess the truth before their adversaries, and with an undoubted hope to wait for the crown and reward of eternal felicity. But when he perceived his adversaries lay wait for him, he went into Kent, and with a little packet of laces, pins, points, etc., he travelled from village to village, selling such things, and in this manner subsisted himself, his wife, and children.

At last Justice Moile, of Kent, took Mr. Yeoman, and set him in the stocks a day and a night; but, having no evident matter to charge him with, he let him go again. Coming secretly again to Hadley, he tarried with his poor wife, who kept him privately, in a chamber of the town house, commonly called the Guildhall, more than a year. During this time the good old father abode in a chamber locked up all the day, spending his time in devout prayer, in reading the Scriptures, and in carding the wool which his wife spun. His wife also begged bread for herself and her children, by which precarious means they supported themselves. Thus the saints of God sustained hunger and misery, while the prophets of Baal lived in festivity, and were costily pampered at Jezebel's table.

Information being at length given to Newall, that Yeoman was secreted by his wife, he came, attended by the constables, and broke into the room where the object of his search lay in bed with his wife. He reproached the poor woman with being a whore, and would have indecently pulled the clothes off, but Yeoman resisted both this act of violence and the attack upon his wife's character, adding that he defied the pope and popery. He was then taken out, and set in stocks until day.

In the cage also with him was an old man, named John Dale, who had sat there three or four days, for exhorting the people during the time service was performing by Newall and his curate. His words were, ""O miserable and blind guides, will ye ever be blind leaders of the blind? Will ye never amend? Will ye never see the truth of God's Word? Will neither God's threats nor promises enter into your hearts? Will the blood of the martyrs nothing mollify your stony stomachs? O obdurate, hard-hearted, perverse, and crooked generation! to whom nothing can do good.""

These words he spake in fervency of spirit agains tthe superstitious religion of Rome; wherefore Newall caused him forthwith to be attached, and set in the stocks in a cage, where he was kept until Sir Henry Doile, a justice, came to Hadley.

When Yeoman was taken, the parson called earnestly upon Sir Henry Doile to send them both to prison. Sir Henry Doile as earnestly entreated the parson to consider the age of the men, and their mean condition; they were neither persons of note nor preachers; wherefore he proposed to let them be punished a day or two and to dismiss them, at least John Dale, who was no priest, and therefore, as he had so long sat in the cage, he thought it punishment enough for this time. When the parson heard this, he was exceedingly mad, and in a great rage called them pestilent heretics, unfit to live in the commonwealth of Christians.

